UniproId	MSA_mean	MSA_mean_wo_gaps	motifMean	motifScore	motifPercent%	motifPercent_wogaps%	motifPercent_wogaps2%
Q9BYH1	0.8264442497841583	0.804079327358561	0.9252336448598131	[0.9345794392523364, 'X', 0.9252336448598132, 0.9252336448598132, 'X', 0.9158878504672896]	56.64194200944033	48.004561003420754	28.388401888064735
Q96KG7	0.8935885721247564	0.8057671489026671	0.8777777777777779	[0.8666666666666667, 'X', 0.8740740740740741, 0.8962962962962963, 'X', 0.8740740740740741]	74.30098684210526	46.6784765279008	21.669407894736842
Q7Z408	0.8548579328332019	0.8226570411263189	0.9483471074380166	[0.950413223140496, 'X', 0.950413223140496, 0.950413223140496, 'X', 0.9421487603305784]	48.60961414097866	37.29531338226991	28.475964647553354
Q07954	0.8806476522510329	0.8106665054803353	0.9015151515151516	[0.8863636363636364, 'X', 0.9090909090909092, 0.9090909090909092, 'X', 0.9015151515151516]	61.05714646146083	33.75443262411347	19.212816954711744
Q5VYJ5	0.7184081789699336	0.6442863864057786	0.46195652173913043	[0.39130434782608703, 'X', 0.4782608695652174, 0.5434782608695652, 'X', 0.43478260869565216]	79.39317319848294	70.33736473583704	34.92414664981037
Q5VYJ5	0.7184081789699336	0.6442863864057786	0.5461956521739131	[0.5869565217391305, 'X', 0.5543478260869565, 0.5217391304347826, 'X', 0.5217391304347826]	66.78255372945638	57.41565881604074	28.508217446270546
Q13018	0.7615949708127525	0.6761177753544165	0.566793893129771	[0.4656488549618321, 'X', 0.5954198473282443, 0.4351145038167939, 'X', 0.7709923664122137]	72.98823529411764	61.6504854368932	41.83529411764706
Q8NET8	0.7957179792580542	0.7272206808473157	0.788793103448276	[0.9655172413793104, 'X', 0.7931034482758621, 0.9482758620689656, 'X', 0.4482758620689655]	64.86941870261163	47.76500638569604	31.508003369839933
P98155	0.8416204388560158	0.7182560100620301	0.9674556213017752	[0.9585798816568049, 'X', 0.9644970414201184, 0.970414201183432, 'X', 0.9763313609467456]	45.625	16.908212560386474	7.291666666666667
Q7Z407	0.8677848282247852	0.8480501671025865	0.9737903225806452	[0.967741935483871, 'X', 0.9758064516129032, 0.9758064516129032, 'X', 0.9758064516129032]	26.445757703672435	8.30518018018018	6.226255804136767
Q53EL9	0.7354192782212838	0.7129035371326545	0.9239130434782609	[0.9347826086956522, 'X', 0.9347826086956522, 0.9130434782608696, 'X', 0.9130434782608696]	42.716236722306526	37.29189789123196	25.493171471927162
Q6UXD5	0.8313382480069158	0.7590579021404402	0.9288793103448276	[0.9396551724137931, 'X', 0.9396551724137931, 0.913793103448276, 'X', 0.9224137931034484]	57.938718662952645	38.0374862183021	24.02506963788301
Q15303	0.8935610908732894	0.8142518351214004	0.880952380952381	[0.8285714285714286, 'X', 0.8761904761904762, 0.923809523809524, 'X', 0.8952380952380953]	70.19297036526534	35.8102766798419	15.609924190213645
Q14114	0.8506461344499978	0.744862532610877	0.975	[0.9818181818181818, 'X', 0.9636363636363636, 0.9727272727272728, 'X', 0.9818181818181818]	42.199108469539375	14.79028697571744	6.636948984645865
P01130	0.8400554369064389	0.707163181986886	0.8898305084745762	[0.8898305084745762, 'X', 0.8983050847457628, 0.8898305084745762, 'X', 0.8813559322033898]	62.14477211796247	26.277372262773724	11.58176943699732
P98164	1.0	1.0	1.0	[1.0, 'X', 1.0, 1.0, 'X', 1.0]	0.0	0.0	0.0
P98164	1.0	1.0	1.0	[1.0, 'X', 1.0, 1.0, 'X', 1.0]	0.0	0.0	0.0
Q96PZ7	1.0	1.0	1.0	[1.0, 'X', 1.0, 1.0, 'X', 1.0]	0.0	0.0	0.0
P21860	0.840005603461694	0.7543817856317856	0.9375	[0.9423076923076924, 'X', 0.9326923076923076, 0.9423076923076924, 'X', 0.9326923076923076]	53.7029542695265	32.80780780780781	17.685147713476326
