"UniproId"	"motifStart"	"motifMean"	"motifPercent."	"motifPercent_wogaps."	"consvCheck"	"Description"	"modularity_class.x"	"modularity_class.y"	"motifMeanDis"	"premotif5"	"keywords"
"Q5T7P8"	425	1	1	1	TRUE	"Synaptotagmin"	3	1	0.1529235	0.3416756	"brain:13.5;Excitatory neurons:5.8,Horizontal cells:26.3,Late spermatids:14.9,Microglial cells:26.5,Oligodendrocyte precursor cells:7.2;NA"
"Q06481"	752	0.982758620689655	0.869167429094236	0.988995873452545	TRUE	"Amyloid beta precursor"	5	4	0.348607	0.5828402	"NA;NA;NA"
"Q7Z407"	3679	0.980392156862745	0.896931927133269	0.975815523059617	TRUE	"CUB and sushi domain-containing protein"	0	0	0.48778325	0.5178243	"brain:6.8;Excitatory neurons:902.5,Inhibitory neurons:846.2,Oligodendrocyte precursor cells:1686.7;NA"
"P05067"	759	0.986486486486486	0.833009708737864	0.971621621621622	TRUE	"Amyloid beta precursor"	5	4	0.3662145	0.5442347	"NA;Oligodendrocytes:822.1;\"Apoptosis\",\"Cell adhesion\",\"Endocytosis\",\"Notch signaling pathway\""
"Q9BXM7"	451	0.991228070175439	0.979301423027167	0.96875	TRUE	"Serine/threonine-protein kinase"	4	2	0.050455	0.0262042	"skeletal muscle:384.4,tongue:392.3;NA;\"Autophagy\""
"Q07954"	4470	0.976744186046512	0.971189279731993	0.961938481965037	TRUE	"lipoprotein receptor"	2	3	0.493659	0.5023125	"adipose tissue:109.2;Fibroblasts:320.3,Leydig cells:234.3,Peritubular cells:183.8;\"Endocytosis\",\"Host-virus interaction\""
"Q86XL3"	332	0.993527508090615	0.972850678733032	0.958715596330275	TRUE	"LEM domain-containing protein"	NA	NA	0.261243	0.3222648	"NA;Spermatocytes:196.2;\"Cell cycle\",\"Cell division\",\"Mitosis\""
"P08069"	977	0.961783439490446	0.78813056379822	0.942616679418516	TRUE	"Insulin-like receptor"	4	2	0.05759425	0.2141383	"NA;Excitatory neurons:236.0,Inhibitory neurons:190.3,Microglial cells:239.0,Oligodendrocyte precursor cells:227.7,Oligodendrocytes:246.4;\"Host-virus interaction\""
"O15146"	551	0.979166666666667	0.784615384615384	0.941108545034642	TRUE	"tyrosine-protein kinase"	4	2	0.1886665	0.3033065	"brain:6.2,skeletal muscle:4.1;Leydig cells:15.8,Oligodendrocytes:16.0,Peritubular cells:37.3,Skeletal myocytes:15.8;\"Differentiation\""
"P24394"	494	0.970238095238095	0.84732052578362	0.936739659367397	TRUE	"Interleukin-4 receptor subunit"	NA	NA	0.4713955	0.5918003	"NA;B-cells:72.7,granulocytes:92.0;\"Immunity\""
"Q16288"	513	0.980769230769231	0.874386653581943	0.934065934065934	TRUE	"Neurotrophic tyrosine kinase receptor"	4	2	0.32109175	0.2756904	"brain:38.8;Astrocytes:231.9,Early spermatids:115.0,Excitatory neurons:355.3,Inhibitory neurons:271.7,Late spermatids:154.8,Microglial cells:172.4,Oligodendrocyte precursor cells:478.5;\"Differentiation\",\"Neurogenesis\""
"Q5VY43"	819	0.936507936507936	0.585201793721973	0.923226433430515	TRUE	"endothelial aggregation receptor"	2	3	0.385173	0.4165318	"NA;Adipocytes:42.1,Endothelial cells:28.9,Fibroblasts:11.5,Leydig cells:43.7,Microglial cells:11.9,Peritubular cells:32.9,Sertoli cells:19.3,Smooth muscle cells:30.4;NA"
"Q6UWI2"	304	0.919191919191919	0.641263940520446	0.922077922077922	TRUE	"androgen-regulated mucin-like protein"	2	0	0.32814175	0.3848789	"NA;Cardiomyocytes:190.6,Distal enterocytes:284.3,Intestinal goblet cells:102.0;NA"
"Q9H156"	698	0.987421383647799	0.688295936931474	0.89585798816568	TRUE	"SLIT and NTRK-like protein"	4	7	0.44715575	0.3684055	"brain:12.5,retina:32.8;Astrocytes:32.3,Melanocytes:50.5,Muller glia cells:185.0,Oligodendrocyte precursor cells:46.7,Oligodendrocytes:24.2,Schwann cells:23.7;NA"
"P51693"	640	0.951070336391437	0.711779448621554	0.890387858347386	TRUE	"Amyloid beta precursor"	5	4	0.48830475	0.5604861	"brain:1201.6;Bipolar cells:144.3,Horizontal cells:87.8,Oligodendrocytes:435.5;\"Apoptosis\",\"Cell adhesion\",\"Endocytosis\""
"Q07954"	4504	0.961240310077519	0.730820770519263	0.876300066386369	TRUE	"lipoprotein receptor"	2	3	0.41407625	0.413878	"adipose tissue:109.2;Fibroblasts:320.3,Leydig cells:234.3,Peritubular cells:183.8;\"Endocytosis\",\"Host-virus interaction\""
"Q8N114"	229	0.935064935064935	0.615533980582524	0.873873873873874	TRUE	"NF-kappa-B-activating protein"	NA	NA	0.4322655	0.4445394	"NA;Cytotrophoblasts:295.3,Extravillous trophoblasts:229.2;\"Apoptosis\""
"P29376"	482	0.957446808510638	0.773011617515639	0.865928659286593	TRUE	"Leukocyte tyrosine kinase receptor"	4	2	0.197432	0.2671114	"intestine:13.2,lung:15.1,salivary gland:11.8;dendritic cells:25.6,Distal enterocytes:24.5,Gastric mucus-secreting cells:16.1,Intestinal goblet cells:9.4,Proximal enterocytes:16.8,Respiratory ciliated cells:7.1;NA"
"P07766"	185	0.848148148148148	0.649122807017544	0.864406779661017	TRUE	"T-cell surface glycoprotein CD3"	NA	NA	0.779686	0.9146075	"lymphoid tissue:640.4;NK-cells:218.3,T-cells:639.2;\"Adaptive immunity\",\"Immunity\""
"Q8TD46"	299	0.853881278538813	0.745535714285714	0.86411149825784	TRUE	"glycoprotein CD200 receptor"	4	NA	0.39651825	0.5015973	"lymphoid tissue:7.9;Basal squamous epithelial cells:12.8,granulocytes:21.5,Hofbauer cells:29.9,Langerhans cells:23.6,Macrophages:10.0,T-cells:12.1;\"Host-virus interaction\""
"Q9UM73"	1093	0.940379403794038	0.762757044935263	0.85843621399177	TRUE	"tyrosine kinase receptor"	4	2	0.21233	0.2519966	"brain:10.9;Inhibitory neurons:267.4,Oligodendrocyte precursor cells:415.4;NA"
"P98155"	834	0.959839357429719	0.684803001876173	0.841075794621027	TRUE	"lipoprotein receptor"	2	0	0.4096315	0.3662698	"ovary:77.5;Cardiomyocytes:67.4,Cone photoreceptor cells:93.1,Rod photoreceptor cells:55.3;\"Cholesterol metabolism\",\"Endocytosis\",\"Host-virus interaction\",\"Lipid metabolism\",\"Lipid transport\",\"Steroid metabolism\",\"Sterol metabolism\",\"Transport\""
